khipu_id,num_nodes,depth,avg_branching,model
synthetic_uniform_0,1507,0,231.79834827698494,uniform_random
synthetic_uniform_1,1072,1,45.56458775370343,uniform_random
synthetic_uniform_2,1449,0,199.75714831602758,uniform_random
synthetic_uniform_3,622,2,176.2530888196753,uniform_random
synthetic_uniform_4,687,2,212.9987868750241,uniform_random
synthetic_uniform_5,1041,0,204.97459317142776,uniform_random
synthetic_uniform_6,1540,2,194.02680449691024,uniform_random
synthetic_uniform_7,994,3,302.33138878399177,uniform_random
synthetic_uniform_8,379,5,259.99405898625184,uniform_random
synthetic_uniform_9,1200,5,113.03386358597393,uniform_random
synthetic_uniform_10,544,2,16.243875880551848,uniform_random
synthetic_uniform_11,1548,3,17.02373641176848,uniform_random
synthetic_uniform_12,1449,2,69.55676621422161,uniform_random
synthetic_uniform_13,764,2,253.13723926288097,uniform_random
synthetic_uniform_14,977,0,290.5553103758214,uniform_random
synthetic_uniform_15,821,4,118.56192779344521,uniform_random
synthetic_uniform_16,664,5,206.5208300850507,uniform_random
synthetic_uniform_17,1144,2,203.60255147619912,uniform_random
synthetic_uniform_18,1046,0,294.12499063450315,uniform_random
synthetic_uniform_19,1004,3,54.60828957931204,uniform_random
synthetic_uniform_20,784,0,264.6334289882916,uniform_random
synthetic_uniform_21,245,4,47.404891957266386,uniform_random
synthetic_uniform_22,1681,3,47.28630938134658,uniform_random
synthetic_uniform_23,1458,5,261.5663858635524,uniform_random
synthetic_uniform_24,248,0,98.53024410335819,uniform_random
synthetic_uniform_25,600,0,166.96241876075985,uniform_random
synthetic_uniform_26,282,3,229.9352763604383,uniform_random
synthetic_uniform_27,710,4,152.45211256817134,uniform_random
synthetic_uniform_28,1268,0,162.5739422787647,uniform_random
synthetic_uniform_29,1666,4,62.0012053463461,uniform_random
synthetic_uniform_30,1070,4,164.95908057361012,uniform_random
synthetic_uniform_31,1584,1,125.67804895886398,uniform_random
synthetic_uniform_32,655,1,141.8829665337011,uniform_random
synthetic_uniform_33,1799,0,317.04952867463436,uniform_random
synthetic_uniform_34,1343,3,194.69141158261024,uniform_random
synthetic_uniform_35,244,5,5.237971697962721,uniform_random
synthetic_uniform_36,276,2,59.98677033311096,uniform_random
synthetic_uniform_37,518,3,186.51046736367638,uniform_random
synthetic_uniform_38,527,5,117.72276574732922,uniform_random
synthetic_uniform_39,430,2,71.01334030645914,uniform_random
synthetic_uniform_40,521,2,176.26026846951493,uniform_random
synthetic_uniform_41,1478,5,0.9630149701965827,uniform_random
synthetic_uniform_42,1530,3,44.998701275147525,uniform_random
synthetic_uniform_43,1619,3,246.17964693440697,uniform_random
synthetic_uniform_44,1489,4,161.07524227651004,uniform_random
synthetic_uniform_45,1045,0,86.20124505837752,uniform_random
synthetic_uniform_46,1796,5,104.09026728901912,uniform_random
synthetic_uniform_47,929,1,24.258328394843936,uniform_random
synthetic_uniform_48,1345,5,11.93327774877558,uniform_random
synthetic_uniform_49,1093,4,10.78115448750002,uniform_random
synthetic_uniform_50,595,5,282.5753477890295,uniform_random
synthetic_uniform_51,76,1,115.0315958284733,uniform_random
synthetic_uniform_52,1599,4,143.82979890158222,uniform_random
synthetic_uniform_53,1719,5,55.04908144466101,uniform_random
synthetic_uniform_54,775,2,180.9687475559749,uniform_random
synthetic_uniform_55,1538,2,311.32697770549197,uniform_random
synthetic_uniform_56,125,5,108.23628180056552,uniform_random
synthetic_uniform_57,1117,4,190.513436814095,uniform_random
synthetic_uniform_58,592,5,206.44547637629967,uniform_random
synthetic_uniform_59,576,2,95.57796754628684,uniform_random
synthetic_uniform_60,575,1,45.358084784464445,uniform_random
synthetic_uniform_61,1658,5,92.14442295746909,uniform_random
synthetic_uniform_62,108,3,239.8305068802708,uniform_random
synthetic_uniform_63,1794,5,133.61156839075338,uniform_random
synthetic_uniform_64,605,1,11.130062395614962,uniform_random
synthetic_uniform_65,1180,1,274.99023150882323,uniform_random
synthetic_uniform_66,995,0,241.01124477532514,uniform_random
synthetic_uniform_67,307,2,132.31608412615282,uniform_random
synthetic_uniform_68,1676,3,163.66222422174727,uniform_random
synthetic_uniform_69,408,0,6.236214190155071,uniform_random
synthetic_uniform_70,431,3,23.520349998437087,uniform_random
synthetic_uniform_71,33,1,42.050183766015024,uniform_random
synthetic_uniform_72,487,1,60.587458128587684,uniform_random
synthetic_uniform_73,1562,4,88.14997682257942,uniform_random
synthetic_uniform_74,1464,2,235.12557323865732,uniform_random
synthetic_uniform_75,1683,2,287.20601026665327,uniform_random
synthetic_uniform_76,1674,0,262.6327391136247,uniform_random
synthetic_uniform_77,1824,2,267.7681278529848,uniform_random
synthetic_uniform_78,1817,4,292.8799878267459,uniform_random
synthetic_uniform_79,1534,1,289.30039304775903,uniform_random
synthetic_uniform_80,442,5,52.09692534259073,uniform_random
synthetic_uniform_81,1617,1,228.21451088153404,uniform_random
synthetic_uniform_82,443,3,295.78769078656444,uniform_random
synthetic_uniform_83,905,3,67.82602604758418,uniform_random
synthetic_uniform_84,1491,5,18.981412418744664,uniform_random
synthetic_uniform_85,64,2,141.50611683705793,uniform_random
synthetic_uniform_86,888,2,23.62267235553789,uniform_random
synthetic_uniform_87,1345,0,265.22442737436376,uniform_random
synthetic_uniform_88,532,1,119.76769397800072,uniform_random
synthetic_uniform_89,1355,3,272.0690536945766,uniform_random
synthetic_uniform_90,324,1,191.07813112218295,uniform_random
synthetic_uniform_91,158,0,67.48423843900503,uniform_random
synthetic_uniform_92,353,5,129.2502204855374,uniform_random
synthetic_uniform_93,512,5,80.72224747694224,uniform_random
synthetic_uniform_94,545,5,310.61781701889134,uniform_random
synthetic_uniform_95,163,5,272.25001475047463,uniform_random
synthetic_uniform_96,629,1,42.291950385786464,uniform_random
synthetic_uniform_97,611,2,51.07192825164055,uniform_random
synthetic_uniform_98,1269,3,282.39694010676357,uniform_random
synthetic_uniform_99,1696,3,310.89840184360975,uniform_random
synthetic_uniform_100,145,1,216.38617899065196,uniform_random
synthetic_uniform_101,1290,3,293.6852747082671,uniform_random
synthetic_uniform_102,161,2,275.50604919021555,uniform_random
synthetic_uniform_103,1017,4,81.08921921623545,uniform_random
synthetic_uniform_104,1571,2,90.55302635364525,uniform_random
synthetic_uniform_105,1734,0,296.53613889911514,uniform_random
synthetic_uniform_106,1594,3,94.3165775754622,uniform_random
synthetic_uniform_107,930,4,177.3796974666175,uniform_random
synthetic_uniform_108,951,1,20.999946270419052,uniform_random
synthetic_uniform_109,16,1,205.3513285611183,uniform_random
synthetic_uniform_110,576,4,54.11759035919915,uniform_random
synthetic_uniform_111,393,5,71.73736100967864,uniform_random
